areaName,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
United Kingdom,10-03-2021,32,125165
United Kingdom,09-03-2021,97,125133
United Kingdom,08-03-2021,130,125036
United Kingdom,07-03-2021,102,124906
United Kingdom,06-03-2021,,
United Kingdom,05-03-2021,139,124676
United Kingdom,04-03-2021,135,124537
United Kingdom,03-03-2021,140,124402
United Kingdom,02-03-2021,172,124262
United Kingdom,01-03-2021,223,124090
United Kingdom,28-02-2021,,
United Kingdom,27-02-2021,224,123662
United Kingdom,26-02-2021,216,123438
United Kingdom,25-02-2021,254,123222
United Kingdom,24-02-2021,266,122968
United Kingdom,23-02-2021,,
United Kingdom,22-02-2021,274,122420
United Kingdom,21-02-2021,320,122146
United Kingdom,20-02-2021,343,121826
United Kingdom,19-02-2021,376,121483
United Kingdom,18-02-2021,418,121107
United Kingdom,17-02-2021,428,120689
United Kingdom,16-02-2021,445,120261
United Kingdom,15-02-2021,513,119816
United Kingdom,14-02-2021,490,119303
United Kingdom,13-02-2021,487,118813
United Kingdom,12-02-2021,523,118326
United Kingdom,11-02-2021,571,117803
United Kingdom,10-02-2021,,
United Kingdom,09-02-2021,601,116631
United Kingdom,08-02-2021,682,116030
United Kingdom,07-02-2021,631,115348
United Kingdom,06-02-2021,697,114717
United Kingdom,05-02-2021,748,114020
United Kingdom,04-02-2021,716,113272
United Kingdom,03-02-2021,855,112556
United Kingdom,02-02-2021,846,111701
United Kingdom,01-02-2021,887,110855
United Kingdom,31-01-2021,889,109968
United Kingdom,30-01-2021,912,109079
United Kingdom,29-01-2021,1063,108167
United Kingdom,28-01-2021,1106,107104
United Kingdom,27-01-2021,1107,105998
United Kingdom,26-01-2021,,
United Kingdom,25-01-2021,1164,103834
United Kingdom,24-01-2021,1153,102670
United Kingdom,23-01-2021,1159,101517
United Kingdom,22-01-2021,1239,100358
United Kingdom,21-01-2021,1231,99119
United Kingdom,20-01-2021,1294,97888
United Kingdom,19-01-2021,1359,96594
United Kingdom,18-01-2021,1296,95235
United Kingdom,17-01-2021,1264,93939
United Kingdom,16-01-2021,1300,92675
United Kingdom,15-01-2021,,
United Kingdom,14-01-2021,1220,90152
United Kingdom,13-01-2021,1212,88932
United Kingdom,12-01-2021,1204,87720
United Kingdom,11-01-2021,1133,86516
United Kingdom,10-01-2021,1091,85383
United Kingdom,09-01-2021,1017,84292
United Kingdom,08-01-2021,980,83275
United Kingdom,07-01-2021,,
United Kingdom,06-01-2021,931,81304
United Kingdom,05-01-2021,905,80373
United Kingdom,04-01-2021,843,79468
United Kingdom,03-01-2021,756,78625
United Kingdom,02-01-2021,756,77869
United Kingdom,01-01-2021,745,77113
