areaName,date,newAdmissions
United Kingdom,02-02-2021,2460
United Kingdom,01-02-2021,2590
United Kingdom,31-01-2021,2379
United Kingdom,30-01-2021,2447
United Kingdom,29-01-2021,2664
United Kingdom,28-01-2021,3033
United Kingdom,27-01-2021,3046
United Kingdom,26-01-2021,3131
United Kingdom,25-01-2021,2922
United Kingdom,24-01-2021,3106
United Kingdom,23-01-2021,3101
United Kingdom,22-01-2021,3387
United Kingdom,21-01-2021,3622
United Kingdom,20-01-2021,4042
United Kingdom,19-01-2021,4156
United Kingdom,18-01-2021,4057
United Kingdom,17-01-2021,3745
United Kingdom,16-01-2021,3943
United Kingdom,15-01-2021,3672
United Kingdom,14-01-2021,4087
United Kingdom,13-01-2021,4222
United Kingdom,12-01-2021,4576
United Kingdom,11-01-2021,4307
United Kingdom,10-01-2021,3927
United Kingdom,09-01-2021,4123
United Kingdom,08-01-2021,3991
United Kingdom,07-01-2021,4288
United Kingdom,06-01-2021,4391
United Kingdom,05-01-2021,4114
United Kingdom,04-01-2021,3933
United Kingdom,03-01-2021,3648
United Kingdom,02-01-2021,3437
United Kingdom,01-01-2021,3370
